account_id,customer_id,account_type, balance ,last_update,customer_name,,
A001,C001,Savings," GH?1,539.00 ",15/08/2024,Kojo Asare,Row Labels,Sum of balance
A002,C002,Savings," GH?5,964.00 ",16/04/2025,Kojo Asare,C001," GH?1,539.00 "
A003,C003,Current," GH?5,835.00 ",08/11/2024,Afia Darko,C002," GH?5,964.00 "
A004,C004,Current," GH?4,775.00 ",16/08/2024,Kojo Darko,C003," GH?5,835.00 "
A005,C005,Current," GH?7,042.00 ",16/07/2024,Yaw Mensah,C004," GH?4,775.00 "
A006,C006,Current," GH?8,102.00 ",02/12/2024,Adjoa Mensah,C005," GH?7,042.00 "
A007,C007,Current," GH?8,312.00 ",12/03/2024,Adjoa Mensah,C006," GH?8,102.00 "
A008,C008,Current," GH?6,320.00 ",25/12/2024,Afia Boateng,C007," GH?8,312.00 "
A009,C009,Current," GH?7,132.00 ",05/06/2025,Esi Mensah,C008," GH?6,320.00 "
A010,C010,Current," GH?8,891.00 ",03/07/2025,Afia Mensah,C009," GH?7,132.00 "
A011,C011,Current," GH?3,779.00 ",29/01/2024,Kofi Asare,C010," GH?8,891.00 "
A012,C012,Savings," GH?1,924.00 ",24/09/2024,Afia Darko,C011," GH?3,779.00 "
A013,C013,Current," GH?2,581.00 ",17/08/2025,Kojo Asare,C012," GH?1,924.00 "
A014,C014,Current," GH?8,714.00 ",09/02/2024,Kofi Darko,C013," GH?2,581.00 "
A015,C015,Current," GH?4,324.00 ",20/03/2025,Adjoa Darko,C014," GH?8,714.00 "
A016,C016,Current," GH?6,713.00 ",17/11/2024,Yaw Boateng,C015," GH?4,324.00 "
A017,C017,Current," GH?8,026.00 ",07/06/2025,Yaw Asare,C016," GH?6,713.00 "
A018,C018,Current," GH?1,255.00 ",29/01/2025,Adjoa Mensah,C017," GH?8,026.00 "
A019,C019,Current," GH?5,804.00 ",13/07/2024,Yaw Boateng,C018," GH?1,255.00 "
A020,C020,Current," GH?2,838.00 ",15/02/2024,Afia Darko,C019," GH?5,804.00 "
,,,,,,C020," GH?2,838.00 "
,,,,,,Grand Total," GH?109,870.00 "
